Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
M13_RHEUMA,20944,-0.011 [-0.011--0.01],4.068e-185,***,Rheumatoid arthritis,Musculoskeletal
K11_VENTHER,1063,-0.011 [-0.014--0.01],0.024,*,Ventral hernia,Digestive
M13_POLYARTHROPATHIES,18752,-0.011 [-0.012--0.01],2.521e-46,***,Polyarthropathies,Musculoskeletal
CD2_BENIGN_THYROID,151,-0.011 [-0.014--0.01],9.920e-09,***,Benign neoplasm of thyroid gland,Neoplasms
N14_FEMGENPROL,2263,-0.012 [-0.016--0.01],7.458e-05,***,Female genital prolapse,Genitourinary
ULCERRECT,2148,-0.013 [-0.015--0.01],1.936e-23,***,Ulcerative rectosigmoiditis,Digestive
M13_GIANTCELL,1909,-0.013 [-0.015--0.01],9.101e-108,***,Giant cell arteritis,Musculoskeletal
C3_ANUS_ANALCANAL,76,-0.014 [-0.017--0.01],1.122e-14,***,Malignant neoplasm of anus and anal canal,Neoplasms
CHIRHEP_NAS,355,-0.014 [-0.018--0.01],4.573e-09,***,"Cirrhosis of liver, NAS",Digestive
M13_SYSTSLCE,1075,-0.014 [-0.016--0.01],6.034e-59,***,Systemic sclerosis,Musculoskeletal
G6_HCOTHUNS,80,-0.015 [-0.020--0.01],0.020,*,Other and unspecified hydrocephalus,Nervous
J10_NASALPOLYP,7370,-0.015 [-0.016--0.01],4.156e-122,***,Nasal polyp,Respiratory
K11_HERNIA,6152,-0.015 [-0.019--0.01],3.944e-09,***,Hernia,Digestive
C3_LUNG_NONSMALL,527,-0.015 [-0.018--0.01],7.082e-32,***,Non-small cell lung cancer,Neoplasms
I9_THAORTANEUR,1182,-0.016 [-0.018--0.01],1.868e-45,***,Thoracic aortic aneurysm,Circulatory
H8_HL_SEN_NAS,5357,-0.016 [-0.020--0.01],7.626e-11,***,Sensorineural hearing loss,Ear and mastoid
I9_VARICVEOES,203,-0.017 [-0.021--0.01],4.666e-10,***,Oesophageal varices,Circulatory
C3_BRONCHUS_LUNG,573,-0.017 [-0.019--0.01],1.840e-34,***,Malignant neoplasm of bronchus and lung,Neoplasms
J10_PERITONSABSC,1910,-0.017 [-0.021--0.01],4.197e-14,***,Peritonsillar abscess,Respiratory
CD2_BENIGN_LEIOMYOMA_UTERI,9079,-0.017 [-0.019--0.02],6.585e-83,***,Leiomyoma of uterus,Neoplasms
J10_EMPHYSEMA,365,-0.018 [-0.020--0.02],6.178e-37,***,Emphysema,Respiratory
CD2_BENIGN_MELANOCYTIC,521,-0.018 [-0.024--0.01],0.019,*,Melanocytic naevi,Neoplasms
D3_WHITEBLOODCELLNAS,70,-0.018 [-0.024--0.01],0.017,*,Other and unspecified disorders of white blood cells,Blood and immune
N14_DIALYSIS,1620,-0.018 [-0.019--0.02],1.001e-139,***,Dialysis,Genitourinary
K11_DIVERTIC,4845,-0.019 [-0.022--0.02],5.688e-25,***,Diverticular disease of intestine,Digestive
K11_GASTRODUOULC,227,-0.019 [-0.025--0.01],0.003,**,Gastroduodenal ulcer,Digestive
L12_PILONIDALCYST,217,-0.020 [-0.024--0.02],5.353e-17,***,Pilonidal cyst,Skin
AB1_VIRAL_HEPATITIS,81,-0.021 [-0.028--0.01],0.026,*,Viral hepatitis,Infectious and parasitic
H7_BLINDMONOCULAR,75,-0.021 [-0.025--0.02],3.057e-28,***,"Blindness, monocular",Eye and adnexa
I9_OTHARR,798,-0.022 [-0.030--0.01],0.001,**,Other arrhythmias,Circulatory
I9_AORTANEUR,1277,-0.022 [-0.025--0.02],1.234e-48,***,Aortic aneurysm,Circulatory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,-0.022 [-0.027--0.02],1.599e-14,***,Melanocytic naevi of trunk,Neoplasms
COPD_EARLY,512,-0.023 [-0.026--0.02],1.288e-54,***,Early onset COPD,Respiratory
M13_OSTEOMYELITIS,308,-0.024 [-0.027--0.02],1.243e-44,***,Osteomyelitis,Musculoskeletal
H7_PTOSIS,64,-0.025 [-0.034--0.02],0.012,*,Ptosis of eyelid,Eye and adnexa
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,-0.025 [-0.031--0.02],8.616e-10,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
C3_CLL_WIDE,431,-0.025 [-0.027--0.02],8.658e-145,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
M13_OSTEOPOROSIS,372,-0.026 [-0.032--0.02],4.597e-08,***,Osteoporosis,Musculoskeletal
AB1_ZOSTER,268,-0.026 [-0.031--0.02],2.252e-17,***,Zoster [herpes zoster],Infectious and parasitic
H8_EXT_NAS,170,-0.027 [-0.033--0.02],2.610e-11,***,"Otitis externa, unspecified",Ear and mastoid
M13_FIBROMYALGIA,102,-0.029 [-0.038--0.02],2.600e-06,***,Fibromyalgia,Musculoskeletal
N14_CALCUKIDUR,1321,-0.030 [-0.033--0.03],6.224e-67,***,Calculus of kidney and ureter,Genitourinary
IPF,3405,-0.030 [-0.030--0.03],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
J10_CHRONSINUSITIS,3550,-0.030 [-0.033--0.03],6.907e-78,***,Chronic sinusitis,Respiratory
KRA_PSY_ANXIETY,740,-0.031 [-0.041--0.02],0.001,**,Anxiety disorders,Mental and behavioural
H7_BLEPHAROCHALASIS,155,-0.031 [-0.043--0.02],0.023,*,Blepharochalasis,Eye and adnexa
N14_ORHCEPINDIDYMITIS,99,-0.033 [-0.044--0.02],0.004,**,Orchitis and epididymitis,Genitourinary
KRA_PSY_SPEELING,150,-0.033 [-0.039--0.03],1.028e-21,***,Speech and linguistic disorders,Mental and behavioural
CD2_LYMPHOID_LEUKAEMIA,767,-0.033 [-0.035--0.03],1.391e-188,***,Lymphoid leukaemia,Neoplasms
M13_HALLUXVALGUS,3980,-0.034 [-0.037--0.03],1.834e-93,***,Hallux valgus (acquired),Musculoskeletal
H8_OTHEREAR,3939,-0.034 [-0.040--0.03],2.043e-28,***,Other disorders of ear,Ear and mastoid
CD2_BENIGN_OTHERDIGESTIVE,74,-0.035 [-0.046--0.02],0.001,**,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
K11_PERITONITIS,161,-0.035 [-0.039--0.03],5.962e-61,***,Acute peritonitis,Digestive
N14_MESNRUIRREG,1548,-0.035 [-0.043--0.03],1.499e-12,***,"Excessive, frequent and irregular menstruation",Genitourinary
J10_PLEURA,140,-0.036 [-0.049--0.02],0.005,**,Other diseases of pleura,Respiratory
K11_FIBROCHIRLIV,942,-0.036 [-0.039--0.03],1.322e-98,***,Fibrosis and cirrhosis of liver,Digestive
I9_HEARTFAIL,682,-0.037 [-0.047--0.03],1.677e-09,***,"Heart failure, strict",Circulatory
N14_BREAST,659,-0.038 [-0.045--0.03],1.159e-20,***,Disorders of breast,Genitourinary
N14_OTHNONINFUTER,645,-0.038 [-0.042--0.03],3.317e-90,***,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
H8_EXTOTITIS,1164,-0.040 [-0.044--0.04],2.629e-95,***,Otitis externa,Ear and mastoid
E4_MINERAL_MET,806,-0.042 [-0.045--0.04],1.137e-154,***,Disorders of mineral metabolism,Endocrine and metabolic
J10_CHRONTONSADEN,5827,-0.042 [-0.046--0.04],3.817e-117,***,Chronic diseases of tonsils and adenoids,Respiratory
C_DIFFICILE_ENTEROCOLITIS,2693,-0.043 [-0.044--0.04],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
H8_NONSUPPNAS,1145,-0.043 [-0.047--0.04],1.386e-86,***,Nonsuppurative otitis media,Ear and mastoid
L12_CORNSANDCALLOS,491,-0.043 [-0.046--0.04],1.054e-293,***,Corns and callosities,Skin
H8_HL_PRESBY,136,-0.046 [-0.052--0.04],6.493e-42,***,Presbycusis,Ear and mastoid
L12_ABSCESS_CUT,66,-0.046 [-0.061--0.03],4.552e-05,***,"Cutaneous abscess, furuncle and carbuncle",Skin
G6_POLYOTHUNS,107,-0.047 [-0.059--0.04],1.519e-09,***,"Other and unspecified polyneuropathies, also in other diseases",Nervous
