Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,"-0.100 [-0.101,-0.098]",0.000e+00,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,"-0.100 [-0.102,-0.099]",0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
ApoB/ApoA1,"-0.103 [-0.104,-0.101]",0.000e+00,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-TG%,"-0.110 [-0.112,-0.109]",0.000e+00,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,"-0.112 [-0.114,-0.110]",0.000e+00,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,"-0.112 [-0.114,-0.111]",0.000e+00,***,Average Diameter for VLDL Particles
IDL-TG%,"-0.114 [-0.116,-0.113]",0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,"-0.146 [-0.147,-0.144]",0.000e+00,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,"-0.150 [-0.152,-0.149]",0.000e+00,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,"-0.151 [-0.152,-0.149]",0.000e+00,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,"-0.157 [-0.159,-0.155]",0.000e+00,***,Phospholipids to Total-Lipids in Large VLDL percentage
TG/PG,"-0.163 [-0.165,-0.162]",0.000e+00,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,"-0.172 [-0.173,-0.170]",0.000e+00,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,"-0.180 [-0.182,-0.179]",0.000e+00,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,"-0.186 [-0.187,-0.184]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
