Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,"-0.180 [-0.197,-0.163]",4.408e-92,***,Phospholipids to Total-Lipids in Small HDL percentage
Gly,"-0.188 [-0.211,-0.165]",5.985e-53,***,Glycine
Tyr,"-0.190 [-0.207,-0.172]",1.964e-95,***,Tyrosine
Omega-6%,"-0.198 [-0.214,-0.182]",7.554e-128,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-FC,"-0.198 [-0.221,-0.176]",2.001e-61,***,Free Cholesterol in Large HDL
LA%,"-0.203 [-0.220,-0.187]",1.645e-124,***,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-PL%,"-0.215 [-0.232,-0.198]",9.349e-133,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-P,"-0.245 [-0.268,-0.222]",2.641e-94,***,Concentration of Very Large HDL Particles
L-HDL-FC%,"-0.264 [-0.279,-0.249]",2.146e-263,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-size,"-0.271 [-0.292,-0.250]",4.464e-137,***,Average Diameter for HDL Particles
Phe,"-0.274 [-0.291,-0.257]",3.726e-221,***,Phenylalanine
XL-HDL-CE,"-0.281 [-0.304,-0.258]",3.342e-124,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,"-0.320 [-0.343,-0.298]",4.561e-166,***,Cholesterol in Very Large HDL
XL-HDL-PL%,"-0.335 [-0.351,-0.320]",0.000e+00,***,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-L,"-0.356 [-0.378,-0.334]",2.313e-210,***,Total-Lipids in Very Large HDL
Omega-6/Omega-3,"-0.380 [-0.396,-0.363]",0.000e+00,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-PL,"-0.397 [-0.419,-0.374]",1.494e-258,***,Phospholipids in Very Large HDL
XL-HDL-FC,"-0.409 [-0.430,-0.388]",0.000e+00,***,Free Cholesterol in Very Large HDL
S-LDL-PL%,"-0.424 [-0.441,-0.408]",0.000e+00,***,Phospholipids to Total-Lipids in Small LDL percentage
