Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-TG%,"-0.228 [-0.267,-0.188]",3.189e-24,***,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG%,"-0.230 [-0.269,-0.191]",9.068e-26,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,"-0.253 [-0.294,-0.213]",3.535e-29,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,"-0.264 [-0.309,-0.219]",4.128e-25,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,"-0.276 [-0.317,-0.236]",3.920e-35,***,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,"-0.282 [-0.325,-0.239]",1.300e-32,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,"-0.288 [-0.328,-0.249]",1.486e-41,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,"-0.292 [-0.332,-0.251]",1.504e-39,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,"-0.395 [-0.438,-0.353]",1.210e-68,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,"-0.425 [-0.465,-0.385]",6.263e-90,***,Glycoprotein Acetyls
