Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6,0.32 [0.31-0.34],0.000e+00,***,Omega-6 Fatty Acids
LDL-CE,0.32 [0.31-0.34],0.000e+00,***,Cholesteryl Esters in LDL
LDL-C,0.32 [0.31-0.34],0.000e+00,***,LDL Cholesterol
Clinical LDL-C,0.32 [0.31-0.34],0.000e+00,***,Clinical LDL Cholesterol
S-LDL-L,0.32 [0.31-0.34],0.000e+00,***,Total-Lipids in Small LDL
Total-PL,0.32 [0.31-0.33],0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
M-VLDL-P,0.32 [0.30-0.34],0.000e+00,***,Concentration of Medium VLDL Particles
XS-VLDL-PL,0.32 [0.30-0.33],0.000e+00,***,Phospholipids in Very Small VLDL
M-VLDL-PL,0.31 [0.30-0.33],0.000e+00,***,Phospholipids in Medium VLDL
LA,0.31 [0.30-0.32],0.000e+00,***,Linoleic Acid
L-LDL-L,0.31 [0.29-0.32],0.000e+00,***,Total-Lipids in Large LDL
Non-HDL-C,0.31 [0.29-0.32],0.000e+00,***,Total-Cholesterol Minus HDL-C
M-LDL-FC,0.31 [0.29-0.32],0.000e+00,***,Free Cholesterol in Medium LDL
S-LDL-C,0.30 [0.29-0.32],0.000e+00,***,Cholesterol in Small LDL
L-LDL-CE,0.30 [0.29-0.31],0.000e+00,***,Cholesteryl Esters in Large LDL
LDL-PL,0.30 [0.28-0.31],0.000e+00,***,Phospholipids in LDL
L-LDL-C,0.30 [0.28-0.31],0.000e+00,***,Cholesterol in Large LDL
S-LDL-CE,0.30 [0.28-0.31],0.000e+00,***,Cholesteryl Esters in Small LDL
Total-C,0.30 [0.28-0.31],0.000e+00,***,Total-Cholesterol
XS-VLDL-L,0.30 [0.28-0.31],0.000e+00,***,Total-Lipids in Very Small VLDL
Total-CE,0.29 [0.28-0.31],0.000e+00,***,Total-Esterified Cholesterol
M-LDL-P,0.29 [0.28-0.31],0.000e+00,***,Concentration of Medium LDL Particles
S-LDL-P,0.29 [0.28-0.31],0.000e+00,***,Concentration of Small LDL Particles
SM,0.29 [0.28-0.31],0.000e+00,***,Sphingomyelins
S-VLDL-FC,0.29 [0.27-0.31],0.000e+00,***,Free Cholesterol in Small VLDL
XL-HDL-C,0.29 [0.27-0.31],5.123e-263,***,Cholesterol in Very Large HDL
VLDL-CE,0.29 [0.27-0.30],0.000e+00,***,Cholesteryl Esters in VLDL
ApoB,0.29 [0.27-0.30],0.000e+00,***,Apolipoprotein B
XL-HDL-CE,0.28 [0.26-0.30],3.133e-255,***,Cholesteryl Esters in Very Large HDL
LDL-FC,0.28 [0.27-0.29],0.000e+00,***,Free Cholesterol in LDL
