Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-TG%,"1.086 [1.070,1.102]",3.723e-23,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-VLDL-TG,"1.086 [1.071,1.100]",1.554e-28,***,Triglycerides in Very Large VLDL
XL-HDL-CE%,"1.085 [1.072,1.098]",1.056e-35,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-PL,"1.084 [1.070,1.099]",3.979e-27,***,Phospholipids in Large LDL
L-LDL-L,"1.084 [1.069,1.098]",1.605e-27,***,Total-Lipids in Large LDL
IDL-L,"1.084 [1.069,1.098]",5.857e-26,***,Total-Lipids in IDL
S-LDL-TG,"1.083 [1.070,1.097]",6.097e-30,***,Triglycerides in Small LDL
LDL-CE,"1.082 [1.068,1.097]",1.052e-26,***,Cholesteryl Esters in LDL
L-LDL-CE,"1.082 [1.068,1.097]",3.121e-26,***,Cholesteryl Esters in Large LDL
IDL-C,"1.082 [1.067,1.096]",2.254e-24,***,Cholesterol in IDL
M-LDL-L,"1.081 [1.067,1.095]",2.869e-25,***,Total-Lipids in Medium LDL
M-LDL-C,"1.079 [1.064,1.093]",8.806e-24,***,Cholesterol in Medium LDL
LDL-L,"1.078 [1.064,1.093]",4.603e-24,***,Total-Lipids in LDL
VLDL-TG,"1.078 [1.063,1.092]",3.830e-22,***,Triglycerides in VLDL
L-LDL-C,"1.077 [1.063,1.091]",9.643e-23,***,Cholesterol in Large LDL
M-HDL-C%,"1.076 [1.062,1.091]",2.676e-21,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-C,"1.075 [1.061,1.089]",1.270e-21,***,LDL Cholesterol
M-LDL-PL,"1.074 [1.060,1.089]",1.578e-20,***,Phospholipids in Medium LDL
XL-VLDL-L,"1.074 [1.060,1.089]",7.516e-20,***,Total-Lipids in Very Large VLDL
Glu,"1.073 [1.059,1.087]",5.631e-21,***,Glucose
IDL-CE%,"1.073 [1.059,1.087]",6.233e-21,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-TG%,"1.072 [1.057,1.087]",6.034e-18,***,Triglycerides to Total-Lipids in Very Large HDL percentage
LDL-PL,"1.071 [1.057,1.085]",1.310e-18,***,Phospholipids in LDL
XL-VLDL-P,"1.070 [1.056,1.085]",3.723e-18,***,Concentration of Very Large VLDL Particles
3-Hydroxybutyrate,"1.069 [1.054,1.085]",6.642e-15,***,3-Hydroxybutyrate
Non-HDL-C,"1.069 [1.055,1.083]",4.496e-18,***,Total-Cholesterol Minus HDL-C
S-LDL-TG%,"1.067 [1.053,1.081]",9.733e-17,***,Triglycerides to Total-Lipids in Small LDL percentage
